,Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EmployeeCount,EmployeeNumber,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,Over18,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StandardHours,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager
144,32,0,0,689.0,399,9,2,414,1,195.0,4,781,35.0,1,2,287,4,283,4668.0,22812,0,1320,939,17,3,4,80,3,9,2,4,8,7,0,7
147,41,0,0,857.0,864,10,3,543,1,199.0,4,781,91.0,2,4,90,1,283,17181.0,12888,4,1320,939,13,3,2,80,1,21,2,2,7,6,7,7
150,40,0,0,1395.0,864,26,3,414,1,202.0,2,539,54.0,3,2,264,2,283,5605.0,8504,1,1320,939,11,3,1,80,1,20,2,3,20,7,2,13
154,32,0,0,967.0,399,8,3,147,1,207.0,2,539,43.0,3,3,287,4,423,8998.0,15589,1,1320,939,14,3,4,80,0,9,2,3,9,8,3,7
159,34,0,0,303.0,399,2,4,147,1,216.0,3,539,75.0,3,1,78,3,614,2231.0,11314,6,1320,939,18,3,4,80,1,6,3,3,4,3,1,2
171,19,1,0,602.0,399,1,1,118,1,235.0,3,539,100.0,1,1,78,1,423,2325.0,20989,0,1320,939,21,4,1,80,0,1,5,4,0,0,0,0
172,36,0,0,1480.0,864,3,2,414,1,238.0,4,781,30.0,3,1,231,2,423,2088.0,15062,4,1320,939,12,3,3,80,0,13,3,2,8,7,7,2
188,34,0,0,1069.0,864,2,1,543,1,256.0,4,781,45.0,2,2,132,3,614,9547.0,14074,1,1320,939,17,3,3,80,0,10,2,2,10,9,1,9
196,35,0,0,138.0,864,2,3,414,1,269.0,2,539,37.0,3,2,231,2,423,4425.0,15986,5,1320,939,11,3,4,80,0,10,5,3,6,2,1,2
200,27,0,0,472.0,864,1,1,118,1,274.0,3,781,60.0,2,2,132,1,614,4298.0,9679,5,1320,939,19,3,3,80,1,6,1,3,2,2,2,0
202,34,0,0,878.0,864,10,4,414,1,277.0,4,781,43.0,3,1,264,3,283,3815.0,5972,1,1320,381,17,3,4,80,1,5,4,4,5,3,2,0
207,36,0,0,635.0,864,18,1,414,1,286.0,2,539,73.0,3,1,231,4,423,2153.0,7703,1,1320,939,13,3,1,80,0,8,2,3,8,1,1,7
212,27,0,0,1242.0,399,20,3,543,1,293.0,4,539,90.0,3,2,287,3,423,9981.0,12916,1,1320,939,14,3,4,80,0,7,2,3,7,7,0,7
216,30,1,0,334.0,399,26,4,147,1,299.0,3,539,52.0,2,2,287,1,423,6696.0,22967,5,1320,939,15,3,3,80,0,9,5,2,6,3,0,1
222,37,0,0,663.0,864,11,3,75,1,306.0,2,781,47.0,3,3,74,4,283,12185.0,10056,1,1320,381,14,3,3,80,3,10,1,3,10,8,0,7
226,37,0,0,319.0,399,4,4,147,1,311.0,1,781,41.0,3,1,78,4,283,2793.0,2539,4,1320,939,17,3,3,80,1,13,2,3,9,8,5,8
227,29,0,0,1413.0,399,1,1,414,1,312.0,2,539,42.0,3,3,287,4,614,7918.0,6599,1,1320,939,14,3,4,80,1,11,5,3,11,10,4,1
228,35,0,0,944.0,399,1,3,147,1,314.0,3,539,92.0,3,3,287,3,423,8789.0,9096,1,1320,939,14,3,1,80,0,10,3,4,10,7,0,8
245,31,0,0,1327.0,864,3,4,414,1,337.0,2,781,73.0,3,3,74,3,283,13675.0,13523,9,1320,939,12,3,1,80,1,9,3,3,2,2,2,2
249,45,0,0,1199.0,864,7,4,543,1,341.0,1,781,77.0,4,2,132,3,614,6434.0,5118,4,1320,939,17,3,4,80,1,9,1,3,3,2,0,2
250,37,1,0,504.0,864,10,3,414,1,342.0,1,781,61.0,3,3,132,3,283,10048.0,22573,6,1320,939,11,3,2,80,2,17,5,3,1,0,0,0
251,39,0,0,505.0,864,2,4,118,1,343.0,3,539,64.0,3,3,116,3,423,10938.0,6420,0,1320,939,25,4,4,80,0,20,1,3,19,6,11,8
259,31,1,0,307.0,864,29,2,414,1,355.0,3,781,71.0,2,1,231,2,423,3479.0,11652,0,1320,939,11,3,2,80,0,6,2,4,5,4,1,4
260,32,0,0,1311.0,864,7,3,543,1,359.0,2,781,100.0,4,1,231,2,614,2794.0,26062,1,1320,939,20,4,3,80,0,5,3,1,5,1,0,3
278,26,0,0,1479.0,864,1,3,543,1,384.0,3,539,84.0,3,2,132,2,283,6397.0,26767,1,1320,939,20,4,1,80,1,6,6,1,6,5,1,4
282,29,0,0,442.0,399,2,2,543,1,388.0,2,781,44.0,3,2,287,4,423,4554.0,20260,1,1320,939,18,3,1,80,0,10,3,2,10,7,0,9
284,26,0,0,496.0,864,11,2,414,1,390.0,1,781,60.0,3,2,116,1,614,4741.0,22722,1,1320,381,13,3,3,80,1,5,3,3,5,3,3,3
286,44,1,0,920.0,864,24,3,543,1,392.0,4,781,43.0,3,1,231,3,283,3161.0,19920,3,1320,381,22,4,4,80,1,19,0,1,1,0,0,0
290,49,0,0,636.0,864,10,4,543,1,396.0,3,539,35.0,3,5,74,1,423,18034.8125,25594,9,1320,381,11,3,4,80,0,22,4,3,3,2,1,2
292,31,0,0,444.0,399,5,3,147,1,399.0,4,539,84.0,3,1,78,2,283,2789.0,3909,1,1320,939,11,3,3,80,1,2,5,2,2,2,2,2
294,37,0,0,889.0,864,9,3,414,1,403.0,2,781,53.0,3,1,264,4,614,2326.0,11411,1,1320,381,12,3,3,80,3,4,3,2,4,2,1,2
295,42,0,0,555.0,399,26,3,147,1,404.0,3,539,77.0,3,4,287,2,614,13525.0,14864,5,1320,939,14,3,4,80,1,23,2,4,20,4,4,8
298,36,0,0,566.0,864,18,4,543,1,407.0,3,781,81.0,4,1,231,4,614,3688.0,7122,4,1320,939,18,3,4,80,2,4,2,3,1,0,0,0
311,45,0,0,1249.0,864,7,3,543,1,425.0,1,781,97.0,3,3,231,1,283,5210.0,20308,1,1320,939,18,3,1,80,1,24,2,3,24,9,9,11
313,33,0,0,553.0,864,5,4,543,1,428.0,4,539,74.0,3,3,90,2,614,11878.0,23364,6,1320,939,11,3,2,80,2,12,2,3,10,6,8,8
315,43,0,0,185.0,864,10,4,543,1,430.0,3,539,33.0,3,1,231,4,423,2455.0,10675,0,1320,939,19,3,1,80,0,9,5,3,8,7,1,7
325,31,0,0,798.0,864,7,2,543,1,442.0,3,539,48.0,2,3,132,3,614,8943.0,14034,1,1320,939,24,4,1,80,1,10,2,3,10,9,8,9
326,39,0,0,672.0,864,7,2,414,1,444.0,3,781,54.0,2,5,90,4,614,18034.8125,21141,1,1320,939,15,3,1,80,1,21,2,3,21,9,13,3
328,33,0,0,508.0,399,10,3,147,1,446.0,2,781,46.0,2,2,287,4,423,4682.0,4317,3,1320,939,14,3,3,80,0,9,6,2,7,7,0,1
330,43,0,0,559.0,864,10,4,543,1,448.0,3,539,82.0,2,2,231,3,283,5257.0,6227,1,1320,939,11,3,2,80,1,9,3,4,9,7,0,0
332,54,0,0,928.0,864,20,4,543,1,450.0,4,539,31.0,3,2,264,3,423,4869.0,16885,3,1320,939,12,3,4,80,0,20,4,2,4,3,0,3
347,47,0,0,1309.0,399,4,1,414,1,467.0,2,781,99.0,3,2,78,3,423,2976.0,25751,3,1320,939,19,3,1,80,0,5,3,3,0,0,0,0
357,21,1,0,756.0,399,1,1,118,1,478.0,1,539,99.0,2,1,78,2,423,2174.0,9150,1,1320,381,11,3,3,80,0,3,3,3,3,2,1,2
359,36,0,0,541.0,399,3,4,414,1,481.0,1,781,48.0,2,3,287,4,614,9699.0,7246,4,1320,939,11,3,1,80,1,16,2,3,13,9,1,12
366,41,1,0,143.0,399,4,3,147,1,488.0,1,781,56.0,3,2,287,2,423,9355.0,9558,1,1320,939,18,3,3,80,0,8,5,3,8,7,7,7
382,26,1,0,575.0,864,3,1,118,1,510.0,3,781,73.0,3,1,264,1,423,3102.0,6582,0,1320,939,22,4,3,80,0,7,2,3,6,4,0,4
385,30,1,0,464.0,864,4,3,118,1,514.0,3,781,40.0,3,1,264,4,423,2285.0,3427,9,1320,381,23,4,3,80,0,3,4,3,1,0,0,0
395,43,0,0,313.0,864,21,3,414,1,525.0,4,781,61.0,3,1,231,4,614,2258.0,15238,7,1320,939,20,4,1,80,1,8,1,3,3,2,1,2
400,39,0,0,1218.0,864,1,1,543,1,531.0,2,781,52.0,3,5,90,3,283,18034.8125,8213,1,1320,381,14,3,3,80,1,21,3,3,21,8,1,6
401,56,0,0,906.0,399,6,3,543,1,532.0,3,539,86.0,4,4,287,1,614,13212.0,18256,9,1320,939,11,3,4,80,3,36,0,2,7,7,7,7
409,42,0,0,532.0,864,29,2,543,1,547.0,1,539,92.0,3,2,264,3,283,4556.0,12932,2,1320,939,11,3,2,80,1,19,3,3,5,4,0,2
413,42,0,0,1368.0,864,28,4,118,1,551.0,4,539,88.0,2,2,116,4,614,4523.0,4386,0,1320,939,11,3,4,80,3,7,4,4,6,5,0,4
415,34,1,0,296.0,399,6,2,147,1,555.0,4,539,33.0,1,1,78,3,283,2351.0,12253,0,1320,939,16,3,4,80,1,3,3,2,2,2,1,0
416,38,0,0,1490.0,864,2,2,543,1,556.0,4,781,42.0,3,1,231,4,614,1702.0,12106,1,1320,381,23,4,3,80,1,1,3,3,1,0,0,0
427,60,0,0,1499.0,399,28,3,147,1,573.0,3,539,80.0,2,3,287,1,614,10266.0,2845,4,1320,939,19,3,4,80,0,22,5,4,18,13,13,11
439,31,1,0,534.0,864,20,3,543,1,587.0,1,781,66.0,3,3,116,3,614,9824.0,22908,3,1320,939,12,3,1,80,0,12,2,3,1,0,0,0
440,34,1,0,988.0,57,23,3,23,1,590.0,2,539,43.0,3,3,48,1,283,9950.0,11533,9,1320,381,15,3,3,80,3,11,2,3,3,2,0,2
441,42,0,0,1474.0,864,5,2,75,1,591.0,2,781,97.0,3,1,231,3,614,2093.0,9260,4,1320,939,17,3,4,80,1,8,4,3,2,2,2,0
443,22,1,0,1368.0,864,4,1,118,1,593.0,3,781,99.0,2,1,231,3,423,3894.0,9129,5,1320,939,16,3,3,80,0,4,3,3,2,2,1,2
449,39,0,0,443.0,864,8,1,543,1,602.0,3,539,48.0,3,1,231,3,614,3755.0,17872,1,1320,939,11,3,1,80,1,8,3,3,8,3,0,7
453,26,1,0,426.0,57,17,4,543,1,608.0,2,539,58.0,3,1,48,3,283,2741.0,22808,0,1320,381,11,3,2,80,1,8,2,2,7,7,1,0
457,18,1,0,1306.0,399,5,3,147,1,614.0,2,781,69.0,3,1,78,2,423,1878.0,8059,1,1320,381,14,3,4,80,0,0,3,3,0,0,0,0
465,46,0,0,1034.0,864,18,1,414,1,624.0,1,539,86.0,3,3,116,3,614,10527.0,8984,5,1320,939,11,3,4,80,0,28,3,2,2,2,1,2
470,24,0,0,535.0,399,24,3,414,1,632.0,4,781,38.0,3,1,78,4,614,2400.0,5530,0,1320,939,13,3,3,80,2,3,3,3,2,2,2,1
477,50,0,0,1246.0,57,3,3,414,1,644.0,1,781,99.0,3,5,90,2,614,18034.8125,7999,1,1320,939,11,3,3,80,1,32,2,3,32,5,10,7
479,24,1,0,1287.0,864,7,3,543,1,647.0,1,539,55.0,3,1,231,3,614,2886.0,14168,1,1320,381,16,3,4,80,1,6,4,3,6,3,1,2
480,30,1,0,448.0,399,12,4,543,1,648.0,2,781,74.0,2,1,78,1,614,2033.0,14470,1,1320,939,18,3,3,80,1,1,2,4,1,0,0,0
491,43,0,0,1001.0,864,9,5,414,1,663.0,4,781,72.0,3,2,231,3,283,5679.0,19627,3,1320,381,13,3,2,80,1,10,3,3,8,7,4,7
501,30,0,0,160.0,864,3,3,414,1,680.0,3,539,71.0,3,1,264,3,283,2083.0,22653,1,1320,939,20,4,3,80,1,1,2,3,1,0,0,0
504,45,1,0,306.0,399,26,4,543,1,684.0,1,539,100.0,3,2,287,1,614,4286.0,5630,2,1320,939,14,3,4,80,2,5,4,3,1,1,0,0
509,33,0,0,1296.0,864,6,3,543,1,692.0,3,781,30.0,3,2,116,4,283,7725.0,5335,3,1320,939,23,4,3,80,1,15,2,1,13,11,4,7
514,33,1,0,1076.0,864,3,3,543,1,702.0,1,781,70.0,3,1,264,1,423,3348.0,3164,1,1320,381,11,3,1,80,0,10,3,3,10,8,9,7
519,29,0,0,806.0,864,1,4,543,1,710.0,2,781,76.0,1,1,264,4,283,2720.0,18959,1,1320,939,18,3,4,80,1,10,5,3,10,7,2,8
521,27,0,0,1410.0,399,3,1,414,1,714.0,4,539,71.0,4,2,287,4,283,4647.0,16673,1,1320,381,20,4,2,80,2,6,3,3,6,5,0,4
528,50,1,0,562.0,399,8,2,118,1,723.0,2,781,50.0,3,2,287,3,614,6796.0,23452,3,1320,381,14,3,1,80,1,18,4,3,4,3,1,3
533,40,0,0,580.0,399,5,4,543,1,729.0,4,781,48.0,2,3,287,1,614,10475.0,23772,5,1320,381,21,4,3,80,1,20,2,3,18,13,1,12
537,27,0,0,294.0,864,10,2,543,1,733.0,4,781,32.0,3,3,132,1,283,8793.0,4809,1,1320,939,21,4,3,80,2,9,4,2,9,7,1,7
544,47,0,0,217.0,399,3,3,414,1,746.0,4,539,49.0,3,4,287,3,283,13770.0,10225,9,1320,381,12,3,4,80,2,28,2,2,22,2,11,13
547,42,1,0,933.0,864,19,3,414,1,752.0,3,781,57.0,4,1,264,3,283,2759.0,20366,6,1320,381,12,3,4,80,0,7,2,3,2,2,2,2
548,43,0,0,775.0,399,15,3,543,1,754.0,4,781,47.0,2,2,287,4,614,6804.0,23683,3,1320,939,18,3,3,80,1,7,5,3,2,2,2,2
558,32,0,0,430.0,864,24,4,543,1,772.0,1,781,80.0,3,2,231,4,614,5309.0,21146,1,1320,939,15,3,4,80,2,10,2,3,10,8,4,7
566,47,1,0,719.0,399,27,2,543,1,785.0,2,539,77.0,4,2,287,3,423,6397.0,10339,4,1320,381,12,3,4,80,0,8,2,3,5,4,1,3
571,26,0,0,575.0,864,1,2,543,1,792.0,1,539,71.0,1,1,231,4,283,4364.0,5288,3,1320,939,14,3,1,80,1,5,2,3,2,2,2,0
576,27,0,0,829.0,399,8,1,147,1,800.0,3,781,84.0,3,2,287,4,614,4342.0,24008,0,1320,939,19,3,2,80,1,5,3,3,4,2,1,1
578,38,0,0,240.0,864,2,4,543,1,803.0,1,539,75.0,4,2,132,1,423,5980.0,26085,6,1320,381,12,3,4,80,0,17,2,3,15,7,4,12
582,40,0,0,791.0,864,2,2,414,1,807.0,3,539,38.0,4,2,116,2,614,4244.0,9931,1,1320,939,24,4,4,80,1,8,2,3,8,7,3,7
584,42,0,0,570.0,864,8,3,543,1,809.0,2,781,66.0,3,5,90,4,283,18034.8125,16225,1,1320,939,13,3,2,80,1,24,4,2,24,7,14,9
601,40,0,0,720.0,864,16,4,414,1,832.0,1,781,51.0,2,2,231,3,423,5094.0,11983,6,1320,939,14,3,4,80,0,10,6,3,1,0,0,0
605,38,0,0,471.0,864,12,3,543,1,837.0,1,781,45.0,2,2,116,1,283,6288.0,4284,2,1320,939,15,3,3,80,1,13,3,2,4,3,1,2
606,34,0,0,702.0,864,16,4,543,1,838.0,3,539,100.0,2,1,264,4,423,2553.0,8306,1,1320,939,16,3,3,80,0,6,3,3,5,2,1,3
614,26,1,0,887.0,864,5,2,414,1,848.0,3,539,88.0,2,1,264,3,614,2366.0,20898,1,1320,381,14,3,1,80,1,8,2,3,8,7,1,7
623,30,0,0,1012.0,864,5,4,543,1,861.0,2,781,75.0,2,1,264,4,283,3761.0,2373,9,1320,939,12,3,2,80,1,10,3,2,5,4,0,3
627,52,0,0,890.0,864,25,4,414,1,867.0,3,539,81.0,2,4,132,4,614,13826.0,19028,3,1320,939,22,4,3,80,0,31,3,3,9,8,0,0
632,42,0,0,1271.0,864,2,1,414,1,875.0,2,781,35.0,3,1,264,4,423,2515.0,9068,5,1320,381,14,3,4,80,0,8,2,3,2,1,2,2
636,35,1,0,130.0,864,25,4,543,1,881.0,4,539,96.0,3,1,264,2,283,2022.0,16612,1,1320,381,19,3,1,80,1,10,3,2,10,2,7,8
641,32,0,0,379.0,399,5,2,543,1,889.0,2,781,48.0,3,2,287,2,614,6524.0,8891,1,1320,939,14,3,4,80,1,10,3,3,10,8,5,3
648,37,0,0,1231.0,399,21,2,414,1,900.0,3,539,54.0,3,1,78,4,614,2973.0,21222,5,1320,939,15,3,2,80,1,10,3,3,5,4,0,0
650,43,0,0,422.0,864,1,3,543,1,902.0,4,539,33.0,3,2,116,4,614,5562.0,21782,4,1320,939,13,3,2,80,1,12,2,2,5,2,2,2
660,58,1,0,781.0,864,2,1,543,1,918.0,4,781,57.0,2,1,231,4,283,2380.0,13384,9,1320,381,14,3,4,80,1,3,3,2,1,0,0,0
685,26,0,0,1283.0,399,1,3,414,1,956.0,3,781,52.0,2,2,287,1,423,4294.0,11148,1,1320,939,12,3,2,80,0,7,2,3,7,7,0,7
691,40,0,0,1469.0,864,9,4,414,1,964.0,4,781,35.0,3,1,264,2,283,3617.0,25063,8,1320,381,14,3,4,80,1,3,2,3,1,1,0,0
697,29,0,0,1404.0,399,20,3,118,1,974.0,3,539,84.0,3,1,78,4,614,2157.0,18203,1,1320,939,15,3,2,80,1,3,5,3,3,1,0,2
707,47,0,0,1379.0,864,16,4,414,1,987.0,3,781,64.0,4,2,132,3,283,5067.0,6759,1,1320,381,19,3,3,80,0,20,3,4,19,10,2,7
715,33,0,0,827.0,864,1,4,75,1,998.0,3,539,84.0,4,2,116,2,614,5488.0,20161,1,1320,381,13,3,1,80,1,6,2,3,6,5,1,2
716,41,0,0,840.0,864,9,3,414,1,999.0,1,781,64.0,3,5,74,3,283,18034.8125,3735,2,1320,939,17,3,2,80,1,21,2,4,18,16,0,11
722,38,0,0,1391.0,864,10,1,414,1,1006.0,3,781,66.0,3,1,264,3,614,2684.0,12127,0,1320,939,17,3,2,80,1,3,0,2,2,1,0,2
726,31,0,0,853.0,864,1,1,543,1,1011.0,3,539,96.0,3,2,132,1,614,4148.0,11275,1,1320,939,12,3,3,80,1,4,1,3,4,3,0,3
732,30,1,0,109.0,864,5,3,414,1,1017.0,2,539,60.0,3,1,231,2,423,2422.0,25725,0,1320,939,17,3,1,80,0,4,3,3,3,2,1,2
745,55,0,0,135.0,864,18,4,414,1,1034.0,3,781,62.0,3,2,116,2,614,6385.0,12992,3,1320,381,14,3,4,80,2,17,3,3,8,7,6,7
753,39,0,0,945.0,864,22,3,414,1,1043.0,4,539,82.0,3,3,132,1,423,10880.0,5083,1,1320,381,13,3,3,80,0,21,2,3,21,6,2,8
760,53,0,0,124.0,399,2,3,147,1,1050.0,3,539,38.0,2,3,287,2,614,7525.0,23537,2,1320,939,12,3,1,80,1,30,2,3,15,7,6,12
762,26,1,0,342.0,864,2,3,543,1,1053.0,1,781,57.0,3,1,264,1,614,2042.0,15346,6,1320,381,14,3,2,80,1,6,2,3,3,2,1,2
765,38,0,0,1186.0,864,3,4,75,1,1060.0,3,781,44.0,3,1,264,3,614,2821.0,2997,3,1320,939,16,3,1,80,1,8,2,3,2,2,2,2
769,26,0,0,921.0,864,1,1,414,1,1068.0,1,539,66.0,2,1,264,3,283,2007.0,25265,1,1320,939,13,3,3,80,2,5,5,3,5,3,1,3
772,56,0,0,1240.0,864,9,3,414,1,1071.0,1,539,63.0,3,1,264,3,614,2942.0,12154,2,1320,939,19,3,2,80,1,18,4,3,5,4,0,3
776,20,1,0,769.0,399,9,3,147,1,1077.0,4,539,54.0,3,1,78,4,423,2323.0,17205,1,1320,381,14,3,2,80,0,2,3,3,2,2,0,2
787,55,0,0,1091.0,864,2,1,543,1,1096.0,4,781,65.0,3,3,132,2,614,10976.0,15813,3,1320,939,18,3,2,80,1,23,4,3,3,2,1,2
792,33,1,0,827.0,864,29,4,414,1,1101.0,1,539,54.0,2,2,264,3,423,4508.0,3129,1,1320,939,22,4,2,80,0,14,4,3,13,7,3,8
794,34,0,0,618.0,864,3,1,543,1,1103.0,1,781,45.0,3,2,116,4,423,7756.0,22266,0,1320,939,17,3,3,80,0,7,1,2,6,2,0,4
800,28,1,0,1009.0,864,1,3,414,1,1111.0,1,781,45.0,2,1,231,2,283,2596.0,7160,1,1320,939,15,3,1,80,2,1,2,3,1,0,0,0
801,50,1,0,959.0,399,1,4,75,1,1113.0,4,781,81.0,3,2,287,3,423,4728.0,17251,3,1320,381,14,3,4,80,0,5,4,3,0,0,0,0
802,33,0,0,970.0,399,7,3,543,1,1114.0,4,539,30.0,3,2,287,2,614,4302.0,13401,0,1320,939,17,3,3,80,1,4,3,3,3,2,0,2
812,43,0,0,1082.0,864,27,3,543,1,1126.0,3,539,83.0,3,3,132,1,614,10820.0,11535,8,1320,939,11,3,3,80,1,18,1,3,8,7,0,1
813,39,1,0,203.0,864,2,3,543,1,1127.0,1,781,84.0,3,4,116,4,283,12169.0,13547,7,1320,939,11,3,4,80,3,21,4,3,18,7,11,5
818,31,0,0,793.0,399,20,3,543,1,1135.0,3,781,67.0,4,1,78,4,614,2791.0,21981,0,1320,939,12,3,1,80,1,3,4,3,2,2,2,2
820,35,0,0,1182.0,399,11,2,147,1,1137.0,4,781,54.0,3,2,287,4,283,4968.0,18500,1,1320,939,11,3,4,80,1,5,3,3,5,2,0,2
822,34,0,0,1003.0,864,2,2,543,1,1140.0,4,781,95.0,3,2,132,3,423,4033.0,15834,2,1320,939,11,3,4,80,0,5,3,2,3,2,0,2
823,29,0,0,490.0,864,10,3,543,1,1143.0,4,539,61.0,3,1,264,2,283,3291.0,17940,0,1320,939,14,3,4,80,2,8,2,2,7,5,1,1
827,28,0,0,773.0,864,6,3,543,1,1154.0,3,781,39.0,2,1,264,3,283,2703.0,22088,1,1320,381,14,3,4,80,1,3,2,3,3,1,0,2
831,31,1,0,874.0,864,15,3,414,1,1160.0,3,781,72.0,3,1,231,3,614,2610.0,6233,1,1320,939,12,3,3,80,1,2,5,2,2,2,2,2
837,40,0,0,593.0,864,9,4,414,1,1166.0,2,539,88.0,3,3,74,3,423,13499.0,13782,9,1320,939,17,3,3,80,0,20,3,2,18,7,2,13
838,42,1,0,481.0,399,12,3,543,1,1167.0,3,781,44.0,3,4,287,1,423,13758.0,2447,0,1320,381,12,3,2,80,0,22,2,2,21,9,13,14
845,40,0,0,902.0,864,26,2,414,1,1180.0,3,539,92.0,2,2,264,4,614,4422.0,21203,3,1320,381,13,3,4,80,1,16,3,1,1,1,0,0
